"","gsms","ages","sex"
"1","GSM1958168",70,"F"
"2","GSM1958169",30,"F"
"3","GSM1958170",26,"M"
"4","GSM1958171",30,"F"
"5","GSM1958172",44,"M"
"6","GSM1958173",27,"M"
"7","GSM1958174",27,"F"
"8","GSM1958175",26,"F"
"9","GSM1958176",34,"F"
"10","GSM1958177",24,"M"
"11","GSM1958178",35,"F"
"12","GSM1958180",26,"M"
"13","GSM1958181",28,"F"
"14","GSM1958182",29,"F"
"15","GSM1958183",28,"F"
"16","GSM1958184",29,"F"
"17","GSM1958185",32,"F"
"18","GSM1958186",30,"F"
"19","GSM1958187",20,"F"
"20","GSM1958188",22,"F"
"21","GSM1958189",23,"F"
"22","GSM1958190",27,"F"
"23","GSM1958191",20,"F"
"24","GSM1958192",23,"F"
"25","GSM1958193",19,"F"
"26","GSM1958194",19,"M"
"27","GSM1958195",26,"F"
"28","GSM1958196",38,"M"
"29","GSM1958197",48,"M"
"30","GSM1958198",62,"F"
"31","GSM1958199",27,"M"
"32","GSM1958200",27,"F"
"33","GSM1958201",29,"F"
"34","GSM1958202",22,"M"
"35","GSM1958203",59,"F"
"36","GSM1958204",27,"M"
"37","GSM1958205",43,"F"
"38","GSM1958206",56,"F"
"39","GSM1958207",45,"F"
"40","GSM1958208",22,"M"
"41","GSM1958209",20,"M"
"42","GSM1958210",51,"M"
"43","GSM1958211",60,"F"
"44","GSM1958212",46,"F"
"45","GSM1958213",42,"M"
"46","GSM1958214",22,"F"
"47","GSM1958215",22,"F"
"48","GSM1958216",33,"F"
"49","GSM1958217",29,"F"
"50","GSM1958218",19,"M"
"51","GSM1958219",44,"F"
"52","GSM1958220",60,"M"
"53","GSM1958221",50,"F"
"54","GSM1958222",29,"M"
"55","GSM1958223",47,"M"
"56","GSM1958224",57,"F"
"57","GSM1958225",27,"F"
"58","GSM1958226",63,"F"
"59","GSM1958227",50,"M"
"60","GSM1958228",46,"M"
"61","GSM1958229",22,"F"
"62","GSM1958230",21,"M"
"63","GSM1958231",57,"M"
"64","GSM1958232",28,"F"
"65","GSM1958233",25,"F"
"66","GSM1958234",20,"F"
"67","GSM1958235",30,"F"
"68","GSM1958236",19,"M"
"69","GSM1958237",51,"M"
"70","GSM1958238",33,"M"
"71","GSM1958239",51,"M"
"72","GSM1958240",49,"F"
"73","GSM1958241",23,"M"
"74","GSM1958242",37,"F"
"75","GSM1958243",21,"M"
"76","GSM1958244",24,"F"
"77","GSM1958245",18,"F"
"78","GSM1958246",52,"F"
"79","GSM1958247",56,"M"
"80","GSM1958248",36,"F"
"81","GSM1958249",29,"F"
"82","GSM1958250",59,"F"
